time,G(i),H_sun,T2m,WS10m,Int
20060105:2110,0.0,0.0,-0.78,1.52,0.0
20060105:2210,0.0,0.0,-1.2,1.59,0.0
20060105:2310,0.0,0.0,-1.2,1.59,0.0
20060106:0010,0.0,0.0,-1.27,1.66,0.0
20060106:0110,0.0,0.0,-1.13,1.79,0.0
20060106:0210,0.0,0.0,-1.27,1.79,0.0
20060106:0310,0.0,0.0,-1.32,1.66,0.0
20060106:0410,0.0,0.0,-1.41,1.66,0.0
20060106:0510,0.0,0.0,-1.12,1.66,0.0
20060106:0610,0.0,0.0,-1.26,1.86,0.0
20060106:0710,0.0,0.0,-1.24,2.14,0.0
20060106:0810,27.12,2.81,-1.07,2.28,0.0
20060106:0910,99.3,9.72,-0.38,2.28,0.0
20060106:1010,113.32,14.92,0.7,3.03,0.0
20060106:1110,161.51,17.99,1.5,3.03,0.0
20060106:1210,56.76,18.64,2.01,2.97,0.0
20060106:1310,74.73,16.8,2.4,3.03,0.0
20060106:1410,44.46,12.66,2.68,3.03,0.0
20060106:1510,29.33,6.59,2.68,2.97,0.0
20060106:1610,0.0,0.0,2.05,2.83,0.0
20060106:1710,0.0,0.0,1.18,2.9,0.0
20060106:1810,0.0,0.0,0.43,2.83,0.0
20060106:1910,0.0,0.0,-0.06,2.76,0.0
20060106:2010,0.0,0.0,-0.42,2.55,0.0
20060106:2110,0.0,0.0,-0.67,2.34,0.0
20060106:2210,0.0,0.0,-0.63,2.21,0.0
20060106:2310,0.0,0.0,-1.07,2.28,0.0
20060107:0010,0.0,0.0,-1.42,2.21,0.0
20060107:0110,0.0,0.0,-2.06,2.21,0.0
20060107:0210,0.0,0.0,-2.5,2.14,0.0
20060107:0310,0.0,0.0,-2.64,2.0,0.0
20060107:0410,0.0,0.0,-3.03,2.0,0.0
20060107:0510,0.0,0.0,-3.16,1.79,0.0
20060107:0610,0.0,0.0,-3.33,1.79,0.0
20060107:0710,0.0,0.0,-2.82,1.31,0.0
20060107:0810,32.83,2.86,-2.66,1.52,0.0
20060107:0910,263.25,9.78,-1.17,1.31,0.0
20060107:1010,402.89,15.0,0.46,1.45,0.0
20060107:1110,525.12,18.1,1.68,1.59,0.0
20060107:1210,632.1,18.77,2.96,1.72,0.0
20060107:1310,247.91,16.95,3.6,1.79,0.0
20060107:1410,80.1,12.81,3.88,1.93,0.0
20060107:1510,182.97,6.74,3.71,1.86,0.0
20060107:1610,0.0,0.0,3.13,2.0,0.0
20060107:1710,0.0,0.0,2.57,2.14,0.0
20060107:1810,0.0,0.0,2.46,2.34,0.0
20060107:1910,0.0,0.0,1.72,1.93,0.0
20060107:2010,0.0,0.0,1.67,2.0,0.0
20060107:2110,0.0,0.0,1.76,2.07,0.0
20060107:2210,0.0,0.0,1.76,2.14,0.0
20060107:2310,0.0,0.0,1.53,2.28,0.0
20060108:0010,0.0,0.0,1.26,2.28,0.0
20060108:0110,0.0,0.0,1.05,2.34,0.0
20060108:0210,0.0,0.0,0.88,2.41,0.0
20060108:0310,0.0,0.0,1.07,2.48,0.0
20060108:0410,0.0,0.0,1.28,2.55,0.0
20060108:0510,0.0,0.0,1.4,2.62,0.0
20060108:0610,0.0,0.0,1.44,2.62,0.0
20060108:0710,0.0,0.0,1.67,2.83,0.0
20060108:0810,22.54,2.91,2.05,2.83,0.0
20060108:0910,72.61,9.86,2.74,2.83,0.0
20060108:1010,43.52,15.1,3.52,2.76,0.0
20060108:1110,49.19,18.22,4.78,2.69,0.0
20060108:1210,50.14,18.91,5.0,2.9,0.0
20060108:1310,35.95,17.09,5.49,2.97,0.0
20060108:1410,54.87,12.97,5.97,3.17,0.0
20060108:1510,38.83,6.9,6.0,3.03,0.0
20060108:1610,0.0,0.0,5.87,3.03,0.0
20060108:1710,0.0,0.0,5.54,2.97,0.0
20060108:1810,0.0,0.0,5.43,3.1,0.0
20060108:1910,0.0,0.0,5.44,3.1,0.0
20060108:2010,0.0,0.0,5.45,2.9,0.0
20060108:2110,0.0,0.0,5.38,2.69,0.0
20060108:2210,0.0,0.0,4.98,2.62,0.0
20060108:2310,0.0,0.0,4.57,2.76,0.0
20060109:0010,0.0,0.0,4.07,2.83,0.0
20060109:0110,0.0,0.0,3.87,2.76,0.0
20060109:0210,0.0,0.0,3.67,2.76,0.0
20060109:0310,0.0,0.0,3.48,2.69,0.0
20060109:0410,0.0,0.0,3.43,2.55,0.0
20060109:0510,0.0,0.0,3.3,2.48,0.0
20060109:0610,0.0,0.0,3.19,2.28,0.0
20060109:0710,0.0,0.0,3.44,2.07,0.0
20060109:0810,19.0,2.98,3.45,1.86,0.0
20060109:0910,88.47,9.94,3.68,1.72,0.0
20060109:1010,180.47,15.2,4.8,1.79,0.0
20060109:1110,297.3,18.34,5.47,1.72,0.0
20060109:1210,611.57,19.05,6.37,1.79,0.0
20060109:1310,0.0,0.0,6.93,1.59,0.0
20060109:1410,0.0,0.0,7.32,1.31,0.0
20060109:1510,333.3,7.07,7.05,1.17,0.0
20060109:1610,0.0,0.0,6.34,1.59,0.0
20060109:1710,0.0,0.0,5.21,1.79,0.0
20060109:1810,0.0,0.0,4.61,1.93,0.0
20060109:1910,0.0,0.0,3.54,1.72,0.0
20060109:2010,0.0,0.0,3.16,1.52,0.0
20060109:2110,0.0,0.0,2.6,1.66,0.0
20060109:2210,0.0,0.0,2.26,1.59,0.0
20060109:2310,0.0,0.0,1.76,1.52,0.0
20060110:0010,0.0,0.0,1.4,1.38,0.0
20060110:0110,0.0,0.0,0.84,1.52,0.0
20060110:0210,0.0,0.0,0.37,1.59,0.0
20060110:0310,0.0,0.0,-0.21,1.79,0.0
20060110:0410,0.0,0.0,-0.71,2.0,0.0
20060110:0510,0.0,0.0,-0.97,2.0,0.0
20060110:0610,0.0,0.0,-1.24,1.86,0.0
20060110:0710,0.0,0.0,-1.26,2.07,0.0
20060110:0810,25.44,3.05,-0.56,1.93,0.0
20060110:0910,82.85,10.03,0.94,1.66,0.0
20060110:1010,90.43,15.31,2.54,1.93,0.0
20060110:1110,160.25,18.47,3.87,2.76,0.0
20060110:1210,123.89,19.2,4.35,3.24,0.0
20060110:1310,87.98,17.41,4.77,3.38,0.0
20060110:1410,62.43,13.3,4.76,3.59,0.0
20060110:1510,41.47,7.24,4.6,3.59,0.0
20060110:1610,0.0,0.0,4.25,2.76,0.0
20060110:1710,0.0,0.0,3.91,2.62,0.0
20060110:1810,0.0,0.0,3.44,2.76,0.0
20060110:1910,0.0,0.0,3.0,2.83,0.0
20060110:2010,0.0,0.0,2.82,2.97,0.0
20060110:2110,0.0,0.0,2.75,3.1,0.0
20060110:2210,0.0,0.0,2.61,3.1,0.0
20060110:2310,0.0,0.0,2.25,3.1,0.0
20060111:0010,0.0,0.0,2.22,3.31,0.0
20060111:0110,0.0,0.0,2.09,3.52,0.0
20060111:0210,0.0,0.0,2.09,3.45,0.0
20060111:0310,0.0,0.0,1.73,3.31,0.0
20060111:0410,0.0,0.0,1.82,3.38,0.0
20060111:0510,0.0,0.0,1.76,3.38,0.0
20060111:0610,0.0,0.0,1.7,3.45,0.0
20060111:0710,0.0,0.0,1.61,3.66,0.0
20060111:0810,15.52,3.13,1.6,3.72,0.0
20060111:0910,36.89,10.12,2.14,4.0,0.0
20060111:1010,19.87,15.43,3.03,4.21,0.0
20060111:1110,33.11,18.61,3.67,4.14,0.0
20060111:1210,82.3,19.35,4.26,4.07,0.0
20060111:1310,55.81,17.58,4.74,4.34,0.0
20060111:1410,64.33,13.48,5.09,4.76,0.0
20060111:1510,29.33,7.42,4.93,3.59,0.0
20060111:1610,0.0,0.0,4.81,3.31,0.0
20060111:1710,0.0,0.0,4.89,3.1,0.0
20060111:1810,0.0,0.0,5.02,2.97,0.0
20060111:1910,0.0,0.0,4.96,2.55,0.0
20060111:2010,0.0,0.0,4.98,2.21,0.0
20060111:2110,0.0,0.0,5.01,2.0,0.0
20060111:2210,0.0,0.0,5.03,1.66,0.0
20060111:2310,0.0,0.0,5.03,1.38,0.0
20060112:0010,0.0,0.0,4.97,1.24,0.0
20060112:0110,0.0,0.0,4.85,0.9,0.0
20060112:0210,0.0,0.0,4.9,0.28,0.0
20060112:0310,0.0,0.0,4.83,0.14,0.0
20060112:0410,0.0,0.0,4.28,0.97,0.0
20060112:0510,0.0,0.0,4.21,1.45,0.0
20060112:0610,0.0,0.0,4.32,1.45,0.0
20060112:0710,0.0,0.0,4.61,1.66,0.0
20060112:0810,14.51,3.21,4.54,1.79,0.0
20060112:0910,65.01,10.23,4.9,1.72,0.0
20060112:1010,66.22,15.55,5.29,2.21,0.0
20060112:1110,66.22,18.75,5.53,2.41,0.0
20060112:1210,0.0,0.0,5.69,2.34,0.0
20060112:1310,0.0,0.0,5.72,2.48,0.0
20060112:1410,38.79,13.66,5.65,2.76,0.0
20060112:1510,23.65,7.6,5.48,2.76,0.0
20060112:1610,0.0,0.0,5.3,2.34,0.0
20060112:1710,0.0,0.0,5.04,2.55,0.0
20060112:1810,0.0,0.0,4.8,2.76,0.0
20060112:1910,0.0,0.0,4.25,2.76,0.0
20060112:2010,0.0,0.0,4.07,2.76,0.0
20060112:2110,0.0,0.0,3.96,2.76,0.0
20060112:2210,0.0,0.0,3.94,2.83,0.0
20060112:2310,0.0,0.0,3.96,2.76,0.0
20060113:0010,0.0,0.0,3.84,2.48,0.0
20060113:0110,0.0,0.0,3.8,2.34,0.0
20060113:0210,0.0,0.0,3.6,2.41,0.0
20060113:0310,0.0,0.0,3.42,2.62,0.0
20060113:0410,0.0,0.0,3.13,2.83,0.0
20060113:0510,0.0,0.0,2.45,2.83,0.0
20060113:0610,0.0,0.0,2.01,2.76,0.0
20060113:0710,0.0,0.0,1.57,2.69,0.0
20060113:0810,10.41,3.3,1.13,2.55,0.0
20060113:0910,65.89,10.34,1.37,2.83,0.0
20060113:1010,24.6,15.68,2.2,3.1,0.0
20060113:1110,68.11,18.91,3.15,3.1,0.0
20060113:1210,68.11,19.69,4.16,2.83,0.0
20060113:1310,74.73,17.94,5.3,2.55,0.0
20060113:1410,86.31,13.84,6.22,2.48,0.0
20060113:1510,61.38,7.79,6.67,2.69,0.0
20060113:1610,0.0,0.0,5.8,2.55,0.0
20060113:1710,0.0,0.0,4.9,2.9,0.0
20060113:1810,0.0,0.0,4.14,3.17,0.0
20060113:1910,0.0,0.0,2.88,2.9,0.0
20060113:2010,0.0,0.0,2.26,2.9,0.0
20060113:2110,0.0,0.0,1.79,2.97,0.0
20060113:2210,0.0,0.0,1.46,3.03,0.0
20060113:2310,0.0,0.0,1.33,3.1,0.0
20060114:0010,0.0,0.0,1.33,3.24,0.0
20060114:0110,0.0,0.0,1.36,3.24,0.0
20060114:0210,0.0,0.0,1.24,3.31,0.0
20060114:0310,0.0,0.0,1.06,3.24,0.0
20060114:0410,0.0,0.0,0.81,3.17,0.0
20060114:0510,0.0,0.0,0.53,3.1,0.0
20060114:0610,0.0,0.0,0.27,3.1,0.0
20060114:0710,0.0,0.0,0.0,3.1,0.0
20060114:0810,32.54,3.4,-0.15,3.03,0.0
20060114:0910,241.65,10.45,0.79,2.9,0.0
20060114:1010,433.14,15.82,2.61,2.83,0.0
20060114:1110,561.31,19.07,4.41,3.1,0.0
20060114:1210,613.54,19.86,5.88,3.1,0.0
20060114:1310,609.08,18.12,6.81,3.1,0.0
20060114:1410,546.31,14.04,7.22,3.1,0.0
20060114:1510,397.39,7.98,6.85,2.62,0.0
20060114:1610,0.0,0.0,5.39,2.69,0.0
20060114:1710,0.0,0.0,3.77,2.83,0.0
20060114:1810,0.0,0.0,2.8,2.97,0.0
20060114:1910,0.0,0.0,2.1,2.76,0.0
20060114:2010,0.0,0.0,1.5,2.76,0.0
20060114:2110,0.0,0.0,0.88,2.69,0.0
20060114:2210,0.0,0.0,0.37,2.62,0.0
20060114:2310,0.0,0.0,-0.01,2.62,0.0
20060115:0010,0.0,0.0,-0.17,2.55,0.0
20060115:0110,0.0,0.0,-0.33,2.55,0.0
20060115:0210,0.0,0.0,-0.59,2.62,0.0
20060115:0310,0.0,0.0,-0.68,2.62,0.0
20060115:0410,0.0,0.0,-0.34,2.55,0.0
20060115:0510,0.0,0.0,-0.33,2.62,0.0
20060115:0610,0.0,0.0,-0.29,2.62,0.0
20060115:0710,0.0,0.0,-0.3,2.62,0.0
20060115:0810,26.99,3.5,-0.01,2.55,0.0
20060115:0910,204.73,10.58,0.69,2.48,0.0
20060115:1010,410.76,15.97,2.14,2.62,0.0
20060115:1110,516.66,19.23,3.51,2.83,0.0
20060115:1210,629.07,20.04,4.63,2.76,0.0
20060115:1310,644.13,18.32,5.4,2.69,0.0
20060115:1410,537.89,14.24,5.45,2.41,0.0
20060115:1510,305.64,8.18,5.03,2.48,0.0
20060115:1610,0.0,0.0,3.71,2.83,0.0
20060115:1710,0.0,0.0,2.28,2.97,0.0
20060115:1810,0.0,0.0,1.51,3.03,0.0
20060115:1910,0.0,0.0,1.47,3.03,0.0
20060115:2010,0.0,0.0,1.16,2.97,0.0
20060115:2110,0.0,0.0,0.78,2.9,0.0
20060115:2210,0.0,0.0,0.84,2.97,0.0
20060115:2310,0.0,0.0,0.93,3.03,0.0
20060116:0010,0.0,0.0,1.17,3.1,0.0
20060116:0110,0.0,0.0,1.1,3.1,0.0
20060116:0210,0.0,0.0,0.97,3.17,0.0
20060116:0310,0.0,0.0,0.84,3.24,0.0
20060116:0410,0.0,0.0,0.64,3.17,0.0
20060116:0510,0.0,0.0,0.78,3.17,0.0
20060116:0610,0.0,0.0,0.95,3.17,0.0
20060116:0710,0.0,0.0,0.82,3.1,0.0
20060116:0810,42.38,3.61,0.73,3.17,0.0
20060116:0910,82.5,10.71,1.58,3.17,0.0
20060116:1010,66.22,16.12,3.36,3.24,0.0
20060116:1110,123.97,19.4,4.85,3.59,0.0
20060116:1210,135.52,20.23,5.88,3.72,0.0
20060116:1310,130.1,18.52,6.35,3.45,0.0
20060116:1410,181.94,14.44,6.48,3.79,0.0
20060116:1510,93.59,8.38,6.25,3.72,0.0
20060116:1610,0.0,0.0,6.0,3.86,0.0
20060116:1710,0.0,0.0,5.65,3.86,0.0
20060116:1810,0.0,0.0,5.69,3.93,0.0
20060116:1910,0.0,0.0,5.61,3.93,0.0
20060116:2010,0.0,0.0,5.74,3.93,0.0
20060116:2110,0.0,0.0,5.87,4.0,0.0
20060116:2210,0.0,0.0,6.03,4.14,0.0
20060116:2310,0.0,0.0,6.23,4.34,0.0
20060117:0010,0.0,0.0,6.36,4.34,0.0
20060117:0110,0.0,0.0,6.36,4.34,0.0
20060117:0210,0.0,0.0,6.22,4.55,0.0
20060117:0310,0.0,0.0,5.88,4.76,0.0
20060117:0410,0.0,0.0,5.82,5.1,0.0
20060117:0510,0.0,0.0,5.6,5.31,0.0
20060117:0610,0.0,0.0,5.5,5.93,0.0
20060117:0710,0.0,0.0,6.18,6.83,0.0
20060117:0810,14.19,3.73,6.38,6.83,0.0
20060117:0910,46.35,10.85,6.69,6.55,0.0
20060117:1010,94.93,16.28,6.99,6.28,0.0
20060117:1110,58.65,19.58,7.31,6.14,0.0
20060117:1210,58.65,20.43,7.57,5.93,0.0
20060117:1310,76.62,18.72,7.75,5.45,0.0
20060117:1410,102.16,14.65,8.0,4.62,0.0
20060117:1510,49.27,8.59,8.23,3.79,0.0
20060117:1610,0.0,0.0,8.47,3.24,0.0
20060117:1710,0.0,0.0,8.62,3.31,0.0
20060117:1810,0.0,0.0,8.57,3.66,0.0
20060117:1910,0.0,0.0,8.18,4.0,0.0
20060117:2010,0.0,0.0,7.63,3.86,0.0
20060117:2110,0.0,0.0,6.86,3.59,0.0
20060117:2210,0.0,0.0,6.58,3.31,0.0
20060117:2310,0.0,0.0,6.73,3.31,0.0
20060118:0010,0.0,0.0,6.9,3.52,0.0
20060118:0110,0.0,0.0,6.77,3.45,0.0
20060118:0210,0.0,0.0,6.47,3.45,0.0
20060118:0310,0.0,0.0,6.24,3.66,0.0
20060118:0410,0.0,0.0,6.06,3.59,0.0
20060118:0510,0.0,0.0,6.13,3.31,0.0
20060118:0610,0.0,0.0,6.11,2.97,0.0
20060118:0710,0.0,0.0,6.06,2.97,0.0
20060118:0810,12.3,3.85,6.11,2.69,0.0
20060118:0910,46.35,10.99,6.32,2.83,0.0
20060118:1010,109.49,16.44,6.73,2.9,0.0
20060118:1110,93.65,19.77,7.44,2.76,0.0
20060118:1210,94.6,20.63,8.29,2.97,0.0
20060118:1310,81.35,18.94,9.16,3.24,0.0
20060118:1410,18.92,14.86,9.96,3.45,0.0
20060118:1510,211.18,8.8,9.88,3.72,0.0
20060118:1610,0.0,0.0,9.74,3.24,0.0
20060118:1710,0.0,0.0,9.49,2.48,0.0
20060118:1810,0.0,0.0,9.23,1.79,0.0
20060118:1910,0.0,0.0,8.97,1.66,0.0
20060118:2010,0.0,0.0,8.68,1.24,0.0
20060118:2110,0.0,0.0,8.27,0.9,0.0
20060118:2210,0.0,0.0,8.37,0.62,0.0
20060118:2310,0.0,0.0,7.86,1.1,0.0
20060119:0010,0.0,0.0,7.76,0.97,0.0
20060119:0110,0.0,0.0,7.69,1.03,0.0
20060119:0210,0.0,0.0,7.71,1.1,0.0
20060119:0310,0.0,0.0,7.73,1.17,0.0
20060119:0410,0.0,0.0,7.78,1.24,0.0
20060119:0510,0.0,0.0,7.86,1.31,0.0
20060119:0610,0.0,0.0,7.94,1.31,0.0
20060119:0710,0.0,0.0,8.17,1.59,0.0
20060119:0810,3.78,3.98,8.27,1.52,0.0
20060119:0910,17.97,11.14,8.49,1.52,0.0
20060119:1010,85.25,16.62,8.98,2.14,0.0
20060119:1110,98.38,19.96,9.17,1.79,0.0
20060119:1210,103.11,20.84,9.2,1.66,0.0
20060119:1310,252.96,19.15,9.45,1.86,0.0
20060119:1410,117.05,15.08,9.72,2.28,0.0
20060119:1510,64.16,9.02,9.57,2.0,0.0
20060119:1610,0.0,0.0,9.14,1.86,0.0
20060119:1710,0.0,0.0,8.29,1.93,0.0
20060119:1810,0.0,0.0,7.73,2.0,0.0
20060119:1910,0.0,0.0,7.85,2.0,0.0
20060119:2010,0.0,0.0,7.62,2.14,0.0
20060119:2110,0.0,0.0,7.48,2.28,0.0
20060119:2210,0.0,0.0,7.33,2.28,0.0
20060119:2310,0.0,0.0,7.37,2.28,0.0
20060120:0010,0.0,0.0,7.41,2.21,0.0
20060120:0110,0.0,0.0,7.46,2.28,0.0
20060120:0210,0.0,0.0,7.45,2.34,0.0
20060120:0310,0.0,0.0,7.4,2.41,0.0
20060120:0410,0.0,0.0,7.41,2.55,0.0
20060120:0510,0.0,0.0,7.41,2.76,0.0
20060120:0610,0.0,0.0,7.4,3.03,0.0
20060120:0710,0.0,0.0,7.62,3.17,0.0
20060120:0810,5.68,4.12,7.63,3.31,0.0
20060120:0910,46.35,11.3,7.93,3.66,0.0
20060120:1010,77.57,16.8,8.39,4.28,0.0
20060120:1110,174.71,20.16,9.0,5.17,0.0
20060120:1210,159.04,21.06,9.48,4.9,0.0
20060120:1310,0.0,0.0,10.21,5.86,0.0
20060120:1410,33.11,15.31,10.15,5.66,0.0
20060120:1510,50.86,9.24,9.99,5.38,0.0
20060120:1610,0.0,0.0,9.82,5.31,0.0
20060120:1710,0.0,0.0,9.37,4.83,0.0
20060120:1810,0.0,0.0,8.43,4.41,0.0
20060120:1910,0.0,0.0,7.43,3.52,0.0
20060120:2010,0.0,0.0,6.05,3.03,0.0
20060120:2110,0.0,0.0,5.03,2.97,0.0
20060120:2210,0.0,0.0,4.38,2.97,0.0
20060120:2310,0.0,0.0,3.89,3.03,0.0
20060121:0010,0.0,0.0,3.5,2.97,0.0
20060121:0110,0.0,0.0,3.05,2.83,0.0
20060121:0210,0.0,0.0,2.78,2.76,0.0
20060121:0310,0.0,0.0,2.78,2.69,0.0
20060121:0410,0.0,0.0,2.72,2.62,0.0
20060121:0510,0.0,0.0,2.48,2.62,0.0
20060121:0610,0.0,0.0,2.32,2.62,0.0
20060121:0710,0.0,0.0,2.07,2.69,0.0
20060121:0810,45.27,4.26,2.32,2.69,0.0
20060121:0910,264.99,11.46,3.5,2.48,0.0
20060121:1010,428.73,16.98,4.9,3.38,0.0
20060121:1110,317.81,20.37,5.99,3.03,0.0
20060121:1210,311.87,21.28,6.99,3.38,0.0
20060121:1310,332.92,19.61,7.5,3.31,0.0
20060121:1410,133.99,15.54,7.67,2.69,0.0
20060121:1510,61.97,9.47,7.67,2.28,0.0
20060121:1610,0.0,0.0,7.01,2.07,0.0
20060121:1710,0.0,0.0,5.96,2.14,0.0
20060121:1810,0.0,0.0,5.42,2.28,0.0
20060121:1910,0.0,0.0,4.73,2.48,0.0
20060121:2010,0.0,0.0,4.2,2.62,0.0
20060121:2110,0.0,0.0,3.65,2.69,0.0
20060121:2210,0.0,0.0,3.33,2.62,0.0
20060121:2310,0.0,0.0,2.75,2.62,0.0
20060122:0010,0.0,0.0,2.31,2.69,0.0
20060122:0110,0.0,0.0,2.15,2.76,0.0
20060122:0210,0.0,0.0,2.55,2.76,0.0
20060122:0310,0.0,0.0,2.82,2.76,0.0
20060122:0410,0.0,0.0,3.59,2.83,0.0
20060122:0510,0.0,0.0,3.67,2.9,0.0
20060122:0610,0.0,0.0,3.42,2.97,0.0
20060122:0710,0.0,0.0,3.16,3.03,0.0
20060122:0810,25.93,4.41,2.77,3.24,0.0
20060122:0910,198.23,11.63,2.43,3.31,0.0
