time,G(i),H_sun,T2m,WS10m,Int
20060925:0010,0.0,0.0,15.0,2.62,0.0
20060925:0110,0.0,0.0,14.82,2.34,0.0
20060925:0210,0.0,0.0,14.54,1.72,0.0
20060925:0310,0.0,0.0,14.11,2.0,0.0
20060925:0410,0.0,0.0,13.61,2.14,0.0
20060925:0510,0.0,0.0,13.4,2.07,0.0
20060925:0610,18.1,4.19,13.3,1.93,0.0
20060925:0710,108.8,13.85,13.76,2.07,0.0
20060925:0810,200.78,22.87,14.33,2.97,0.0
20060925:0910,304.15,30.72,15.57,3.24,0.0
20060925:1010,621.75,36.7,16.52,3.45,0.0
20060925:1110,502.56,40.0,17.48,3.72,0.0
20060925:1210,848.81,40.06,18.28,3.59,0.0
20060925:1310,813.54,36.86,18.93,3.59,0.0
20060925:1410,772.67,30.97,19.29,3.66,0.0
20060925:1510,608.39,23.17,19.47,3.45,0.0
20060925:1610,286.66,14.17,19.37,2.97,0.0
20060925:1710,89.92,4.53,18.66,1.93,0.0
20060925:1810,0.0,0.0,17.45,1.93,0.0
20060925:1910,0.0,0.0,16.67,2.21,0.0
20060925:2010,0.0,0.0,15.94,2.34,0.0
20060925:2110,0.0,0.0,15.34,2.41,0.0
20060925:2210,0.0,0.0,14.97,2.41,0.0
20060925:2310,0.0,0.0,14.51,2.41,0.0
20060926:0010,0.0,0.0,14.08,2.41,0.0
20060926:0110,0.0,0.0,13.77,2.34,0.0
20060926:0210,0.0,0.0,13.58,2.41,0.0
20060926:0310,0.0,0.0,13.31,2.34,0.0
20060926:0410,0.0,0.0,13.2,2.34,0.0
20060926:0510,0.0,0.0,13.34,2.48,0.0
20060926:0610,18.1,3.95,13.59,2.55,0.0
20060926:0710,80.25,13.6,14.64,2.34,0.0
20060926:0810,285.28,22.6,15.21,3.31,0.0
20060926:0910,228.47,30.42,15.88,3.38,0.0
20060926:1010,301.14,36.35,16.73,3.24,0.0
20060926:1110,302.43,39.63,17.7,2.9,0.0
20060926:1210,199.3,39.66,18.24,2.55,0.0
20060926:1310,647.54,36.46,18.81,2.62,0.0
20060926:1410,575.43,30.58,19.04,2.69,0.0
20060926:1510,402.37,22.8,19.1,2.69,0.0
20060926:1610,308.05,13.82,18.95,2.28,0.0
20060926:1710,90.95,4.17,18.34,1.72,0.0
20060926:1810,0.0,0.0,17.03,1.93,0.0
20060926:1910,0.0,0.0,16.23,1.59,0.0
20060926:2010,0.0,0.0,14.98,1.72,0.0
20060926:2110,0.0,0.0,14.44,1.79,0.0
20060926:2210,0.0,0.0,13.75,1.79,0.0
20060926:2310,0.0,0.0,12.85,1.79,0.0
20060927:0010,0.0,0.0,12.06,1.52,0.0
20060927:0110,0.0,0.0,11.75,1.24,0.0
20060927:0210,0.0,0.0,11.67,0.9,0.0
20060927:0310,0.0,0.0,11.98,0.76,0.0
20060927:0410,0.0,0.0,11.14,0.76,0.0
20060927:0510,0.0,0.0,10.33,0.69,0.0
20060927:0610,19.01,3.71,10.69,0.76,0.0
20060927:0710,108.36,13.35,12.11,1.38,0.0
20060927:0810,321.33,22.33,13.13,1.38,0.0
20060927:0910,498.58,30.12,15.13,1.72,0.0
20060927:1010,682.61,36.01,17.4,1.86,0.0
20060927:1110,746.7,39.25,19.13,2.34,0.0
20060927:1210,706.44,39.27,19.99,2.62,0.0
20060927:1310,670.88,36.06,20.31,2.69,0.0
20060927:1410,357.3,30.19,20.5,2.69,0.0
20060927:1510,229.6,22.43,20.45,2.55,0.0
20060927:1610,98.63,13.46,20.09,1.93,0.0
20060927:1710,45.4,3.82,19.14,1.66,0.0
20060927:1810,0.0,0.0,17.86,1.79,0.0
20060927:1910,0.0,0.0,16.95,1.93,0.0
20060927:2010,0.0,0.0,16.15,1.93,0.0
20060927:2110,0.0,0.0,15.39,2.0,0.0
20060927:2210,0.0,0.0,14.82,2.0,0.0
20060927:2310,0.0,0.0,14.12,2.07,0.0
20060928:0010,0.0,0.0,13.67,2.07,0.0
20060928:0110,0.0,0.0,13.26,2.14,0.0
20060928:0210,0.0,0.0,13.05,1.93,0.0
20060928:0310,0.0,0.0,12.96,1.79,0.0
20060928:0410,0.0,0.0,12.79,1.79,0.0
20060928:0510,0.0,0.0,12.82,1.79,0.0
20060928:0610,14.48,3.47,12.75,1.86,0.0
20060928:0710,105.75,13.1,13.59,1.66,0.0
20060928:0810,298.76,22.06,15.48,1.86,0.0
20060928:0910,502.21,29.81,17.48,2.14,0.0
20060928:1010,569.21,35.67,19.14,2.55,0.0
20060928:1110,632.34,38.87,20.26,3.1,0.0
20060928:1210,667.86,38.87,21.15,3.24,0.0
20060928:1310,506.35,35.67,21.71,3.24,0.0
20060928:1410,725.05,29.81,22.05,3.1,0.0
20060928:1510,545.21,22.06,22.04,2.97,0.0
20060928:1610,424.69,13.1,21.73,2.55,0.0
20060928:1710,51.82,3.47,20.58,2.0,0.0
20060928:1810,0.0,0.0,18.83,2.28,0.0
20060928:1910,0.0,0.0,17.94,2.14,0.0
20060928:2010,0.0,0.0,17.35,2.14,0.0
20060928:2110,0.0,0.0,16.33,2.34,0.0
20060928:2210,0.0,0.0,15.73,2.34,0.0
20060928:2310,0.0,0.0,15.47,2.34,0.0
20060929:0010,0.0,0.0,15.13,2.41,0.0
20060929:0110,0.0,0.0,14.92,2.41,0.0
20060929:0210,0.0,0.0,15.11,2.41,0.0
20060929:0310,0.0,0.0,14.84,2.41,0.0
20060929:0410,0.0,0.0,14.86,2.41,0.0
20060929:0510,0.0,0.0,14.61,2.41,0.0
20060929:0610,11.77,3.24,14.64,2.48,0.0
20060929:0710,81.35,12.85,15.24,2.55,0.0
20060929:0810,193.68,21.79,16.44,3.38,0.0
20060929:0910,329.93,29.5,17.66,4.14,0.0
20060929:1010,561.97,35.32,18.93,4.41,0.0
20060929:1110,298.4,38.49,20.15,4.28,0.0
20060929:1210,445.86,38.47,21.09,4.41,0.0
20060929:1310,796.39,35.27,21.85,4.97,0.0
20060929:1410,592.76,29.42,22.25,5.17,0.0
20060929:1510,102.17,21.69,21.8,4.48,0.0
20060929:1610,135.04,12.74,21.11,4.28,0.0
20060929:1710,11.35,3.12,20.23,4.21,0.0
20060929:1810,0.0,0.0,19.03,4.07,0.0
20060929:1910,0.0,0.0,17.91,3.72,0.0
20060929:2010,0.0,0.0,17.44,3.79,0.0
20060929:2110,0.0,0.0,17.08,3.66,0.0
20060929:2210,0.0,0.0,16.55,3.31,0.0
20060929:2310,0.0,0.0,15.81,2.9,0.0
20060930:0010,0.0,0.0,15.15,2.9,0.0
20060930:0110,0.0,0.0,14.93,3.03,0.0
20060930:0210,0.0,0.0,14.34,2.9,0.0
20060930:0310,0.0,0.0,13.84,2.69,0.0
20060930:0410,0.0,0.0,13.34,2.55,0.0
20060930:0510,0.0,0.0,13.16,2.34,0.0
20060930:0610,12.67,3.0,13.01,2.28,0.0
20060930:0710,96.82,12.6,13.65,2.9,0.0
20060930:0810,203.53,21.51,14.86,4.07,0.0
20060930:0910,167.27,29.2,16.21,4.0,0.0
20060930:1010,468.09,34.98,17.58,3.93,0.0
20060930:1110,711.3,38.12,19.32,3.79,0.0
20060930:1210,333.65,38.08,20.79,4.07,0.0
20060930:1310,504.24,34.87,21.07,4.21,0.0
20060930:1410,380.28,29.04,21.08,4.48,0.0
20060930:1510,232.78,21.32,20.15,3.93,0.0
20060930:1610,164.7,12.38,19.02,2.07,0.0
20060930:1710,45.84,2.77,17.75,2.28,0.0
20060930:1810,0.0,0.0,16.92,2.97,0.0
20060930:1910,0.0,0.0,16.31,2.83,0.0
20060930:2010,0.0,0.0,16.0,3.24,0.0
20060930:2110,0.0,0.0,16.07,3.66,0.0
20060930:2210,0.0,0.0,16.14,4.0,0.0
20060930:2310,0.0,0.0,16.15,4.14,0.0
20061001:0010,0.0,0.0,15.9,4.07,0.0
20061001:0110,0.0,0.0,15.4,4.0,0.0
20061001:0210,0.0,0.0,14.96,3.72,0.0
20061001:0310,0.0,0.0,14.49,3.79,0.0
20061001:0410,0.0,0.0,14.21,3.86,0.0
20061001:0510,0.0,0.0,14.21,4.07,0.0
20061001:0610,9.05,2.76,14.39,4.28,0.0
20061001:0710,28.38,12.35,15.16,4.69,0.0
20061001:0810,66.22,21.23,16.18,4.21,0.0
20061001:0910,215.5,28.89,17.31,4.62,0.0
20061001:1010,279.93,34.63,18.24,4.62,0.0
20061001:1110,458.88,37.74,19.46,5.52,0.0
20061001:1210,52.03,37.68,19.74,5.79,0.0
20061001:1310,405.32,34.48,20.61,6.28,0.0
20061001:1410,298.47,28.66,20.28,6.34,0.0
20061001:1510,616.37,20.95,19.0,5.17,0.0
20061001:1610,285.85,12.03,19.05,5.79,0.0
20061001:1710,29.44,2.42,18.5,5.66,0.0
20061001:1810,0.0,0.0,17.86,5.38,0.0
20061001:1910,0.0,0.0,17.73,5.59,0.0
20061001:2010,0.0,0.0,17.23,5.66,0.0
20061001:2110,0.0,0.0,16.73,5.66,0.0
20061001:2210,0.0,0.0,16.29,5.66,0.0
20061001:2310,0.0,0.0,15.91,5.66,0.0
20061002:0010,0.0,0.0,15.76,5.66,0.0
20061002:0110,0.0,0.0,15.55,5.59,0.0
20061002:0210,0.0,0.0,15.4,5.52,0.0
20061002:0310,0.0,0.0,15.28,5.45,0.0
20061002:0410,0.0,0.0,15.41,5.45,0.0
20061002:0510,0.0,0.0,15.5,5.38,0.0
20061002:0610,8.15,2.52,15.65,5.38,0.0
20061002:0710,59.98,12.09,15.62,5.03,0.0
20061002:0810,81.35,20.96,15.81,5.1,0.0
20061002:0910,89.87,28.58,15.86,5.03,0.0
20061002:1010,181.12,34.29,15.62,4.9,0.0
20061002:1110,159.87,37.36,15.72,4.9,0.0
20061002:1210,140.95,37.29,15.77,4.62,0.0
20061002:1310,142.84,34.08,15.95,4.55,0.0
20061002:1410,52.03,28.27,15.92,4.48,0.0
20061002:1510,67.16,20.58,15.41,4.41,0.0
20061002:1610,31.22,11.68,14.86,4.34,0.0
20061002:1710,7.57,2.08,14.48,4.0,0.0
20061002:1810,0.0,0.0,14.28,3.79,0.0
20061002:1910,0.0,0.0,14.19,3.24,0.0
20061002:2010,0.0,0.0,14.21,3.24,0.0
20061002:2110,0.0,0.0,14.22,3.17,0.0
20061002:2210,0.0,0.0,14.15,2.9,0.0
20061002:2310,0.0,0.0,14.02,2.28,0.0
20061003:0010,0.0,0.0,13.9,2.07,0.0
20061003:0110,0.0,0.0,13.69,1.93,0.0
20061003:0210,0.0,0.0,13.51,1.59,0.0
20061003:0310,0.0,0.0,13.09,1.45,0.0
20061003:0410,0.0,0.0,13.11,1.45,0.0
20061003:0510,0.0,0.0,13.06,1.24,0.0
20061003:0610,3.62,2.27,13.01,1.03,0.0
20061003:0710,31.22,11.84,13.06,1.1,0.0
20061003:0810,92.71,20.68,13.36,2.07,0.0
20061003:0910,74.73,28.27,13.46,3.1,0.0
20061003:1010,76.62,33.94,13.63,3.24,0.0
20061003:1110,109.73,36.98,13.68,3.1,0.0
20061003:1210,79.46,36.89,13.58,3.79,0.0
20061003:1310,75.68,33.69,13.71,5.52,0.0
20061003:1410,104.06,27.89,13.56,5.24,0.0
20061003:1510,126.92,20.22,13.68,4.9,0.0
20061003:1610,60.92,11.32,13.79,4.41,0.0
20061003:1710,0.0,0.0,13.42,3.79,0.0
20061003:1810,0.0,0.0,13.12,3.45,0.0
20061003:1910,0.0,0.0,12.16,3.17,0.0
20061003:2010,0.0,0.0,11.75,3.03,0.0
20061003:2110,0.0,0.0,11.45,3.03,0.0
20061003:2210,0.0,0.0,11.31,3.03,0.0
20061003:2310,0.0,0.0,10.98,2.97,0.0
20061004:0010,0.0,0.0,10.7,2.83,0.0
20061004:0110,0.0,0.0,10.34,2.83,0.0
20061004:0210,0.0,0.0,9.81,2.83,0.0
20061004:0310,0.0,0.0,9.42,2.76,0.0
20061004:0410,0.0,0.0,9.09,2.69,0.0
20061004:0510,0.0,0.0,8.85,2.62,0.0
20061004:0610,0.0,0.0,8.69,2.55,0.0
20061004:0710,86.93,11.58,9.65,2.21,0.0
20061004:0810,236.6,20.4,11.17,2.48,0.0
20061004:0910,436.64,27.96,12.53,2.69,0.0
20061004:1010,425.21,33.6,14.03,3.17,0.0
20061004:1110,439.24,36.61,14.97,3.1,0.0
20061004:1210,838.11,36.5,15.65,3.24,0.0
20061004:1310,628.55,33.3,16.19,3.59,0.0
20061004:1410,183.96,27.51,16.29,3.66,0.0
20061004:1510,243.77,19.85,16.15,3.45,0.0
20061004:1610,320.61,10.97,15.59,2.62,0.0
20061004:1710,0.0,0.0,14.51,2.28,0.0
20061004:1810,0.0,0.0,13.32,2.07,0.0
20061004:1910,0.0,0.0,12.18,1.79,0.0
20061004:2010,0.0,0.0,11.05,1.66,0.0
20061004:2110,0.0,0.0,9.78,1.86,0.0
20061004:2210,0.0,0.0,9.2,2.07,0.0
20061004:2310,0.0,0.0,8.86,2.21,0.0
20061005:0010,0.0,0.0,8.85,2.28,0.0
20061005:0110,0.0,0.0,8.98,2.34,0.0
20061005:0210,0.0,0.0,9.07,2.41,0.0
20061005:0310,0.0,0.0,9.03,2.55,0.0
20061005:0410,0.0,0.0,9.08,2.62,0.0
20061005:0510,0.0,0.0,9.02,2.62,0.0
20061005:0610,0.0,0.0,9.08,2.62,0.0
20061005:0710,93.36,11.33,9.13,2.48,0.0
20061005:0810,297.33,20.12,10.72,2.69,0.0
20061005:0910,453.09,27.65,12.62,3.59,0.0
20061005:1010,613.89,33.25,14.27,4.83,0.0
20061005:1110,709.15,36.23,15.25,4.9,0.0
20061005:1210,333.49,36.11,15.82,4.9,0.0
20061005:1310,251.92,32.91,16.41,4.9,0.0
20061005:1410,283.87,27.14,16.41,5.03,0.0
20061005:1510,201.25,19.49,16.27,4.83,0.0
20061005:1610,63.58,10.62,15.9,4.21,0.0
20061005:1710,0.0,0.0,15.25,4.21,0.0
20061005:1810,0.0,0.0,14.66,4.14,0.0
20061005:1910,0.0,0.0,14.29,4.55,0.0
20061005:2010,0.0,0.0,14.02,4.41,0.0
20061005:2110,0.0,0.0,13.83,4.34,0.0
20061005:2210,0.0,0.0,13.84,4.62,0.0
20061005:2310,0.0,0.0,14.02,4.97,0.0
20061006:0010,0.0,0.0,14.14,5.03,0.0
20061006:0110,0.0,0.0,14.07,5.03,0.0
20061006:0210,0.0,0.0,14.0,5.03,0.0
20061006:0310,0.0,0.0,14.29,5.03,0.0
20061006:0410,0.0,0.0,14.54,5.03,0.0
20061006:0510,0.0,0.0,14.66,5.17,0.0
20061006:0610,0.0,0.0,14.74,5.24,0.0
20061006:0710,57.16,11.07,14.86,5.24,0.0
20061006:0810,130.96,19.84,15.23,5.31,0.0
20061006:0910,232.82,27.34,16.36,6.21,0.0
20061006:1010,363.62,32.9,17.27,6.34,0.0
20061006:1110,181.3,35.85,18.02,6.9,0.0
20061006:1210,67.16,35.72,18.18,5.45,0.0
20061006:1310,109.73,32.52,18.44,6.34,0.0
20061006:1410,159.58,26.76,18.26,6.55,0.0
20061006:1510,81.35,19.13,17.71,7.1,0.0
20061006:1610,97.7,10.28,17.05,7.31,0.0
20061006:1710,0.0,0.0,16.3,7.03,0.0
20061006:1810,0.0,0.0,15.73,6.34,0.0
20061006:1910,0.0,0.0,15.37,5.31,0.0
20061006:2010,0.0,0.0,15.17,4.48,0.0
20061006:2110,0.0,0.0,14.12,4.21,0.0
20061006:2210,0.0,0.0,13.04,4.0,0.0
20061006:2310,0.0,0.0,12.4,4.07,0.0
20061007:0010,0.0,0.0,12.0,4.28,0.0
20061007:0110,0.0,0.0,11.77,4.48,0.0
20061007:0210,0.0,0.0,11.78,4.41,0.0
20061007:0310,0.0,0.0,11.61,4.41,0.0
20061007:0410,0.0,0.0,11.7,4.34,0.0
20061007:0510,0.0,0.0,11.63,4.28,0.0
20061007:0610,0.0,0.0,11.3,4.07,0.0
20061007:0710,89.82,10.81,11.94,3.93,0.0
20061007:0810,296.65,19.56,12.9,3.93,0.0
20061007:0910,489.7,27.02,13.79,5.17,0.0
20061007:1010,442.54,32.56,14.3,4.76,0.0
20061007:1110,526.32,35.48,14.83,4.48,0.0
20061007:1210,594.95,35.33,15.22,4.07,0.0
20061007:1310,692.12,32.13,15.38,3.66,0.0
20061007:1410,712.22,26.39,15.66,3.38,0.0
20061007:1510,477.92,18.77,15.7,3.03,0.0
20061007:1610,294.98,9.93,15.46,2.34,0.0
20061007:1710,0.0,0.0,14.89,1.52,0.0
20061007:1810,0.0,0.0,14.11,1.17,0.0
20061007:1910,0.0,0.0,12.75,1.59,0.0
20061007:2010,0.0,0.0,12.3,1.38,0.0
20061007:2110,0.0,0.0,11.98,1.31,0.0
20061007:2210,0.0,0.0,11.03,1.38,0.0
20061007:2310,0.0,0.0,10.5,1.31,0.0
20061008:0010,0.0,0.0,9.63,1.52,0.0
20061008:0110,0.0,0.0,9.8,1.59,0.0
20061008:0210,0.0,0.0,9.25,1.86,0.0
20061008:0310,0.0,0.0,8.86,1.93,0.0
20061008:0410,0.0,0.0,8.46,1.79,0.0
20061008:0510,0.0,0.0,7.78,1.52,0.0
20061008:0610,0.0,0.0,7.69,1.24,0.0
20061008:0710,87.34,10.55,7.84,1.79,0.0
20061008:0810,253.27,19.28,10.52,1.79,0.0
20061008:0910,483.78,26.71,12.63,2.28,0.0
20061008:1010,650.31,32.21,14.25,2.83,0.0
20061008:1110,816.97,35.1,15.43,3.45,0.0
20061008:1210,841.99,34.94,16.11,3.45,0.0
20061008:1310,847.99,31.75,16.62,3.38,0.0
20061008:1410,759.86,26.01,17.03,3.24,0.0
20061008:1510,593.6,18.42,17.13,3.17,0.0
20061008:1610,285.15,9.59,16.63,2.62,0.0
20061008:1710,0.0,0.0,15.13,2.55,0.0
20061008:1810,0.0,0.0,13.59,2.62,0.0
20061008:1910,0.0,0.0,12.82,2.41,0.0
20061008:2010,0.0,0.0,12.01,2.34,0.0
20061008:2110,0.0,0.0,11.29,2.34,0.0
20061008:2210,0.0,0.0,10.72,2.41,0.0
20061008:2310,0.0,0.0,10.4,2.41,0.0
20061009:0010,0.0,0.0,10.23,2.41,0.0
20061009:0110,0.0,0.0,10.12,2.34,0.0
20061009:0210,0.0,0.0,10.09,2.21,0.0
20061009:0310,0.0,0.0,10.09,2.14,0.0
20061009:0410,0.0,0.0,10.13,2.14,0.0
20061009:0510,0.0,0.0,10.18,2.07,0.0
20061009:0610,0.0,0.0,10.38,2.07,0.0
20061009:0710,82.64,10.29,10.88,2.21,0.0
20061009:0810,166.43,18.99,12.88,2.34,0.0
20061009:0910,209.86,26.4,15.05,2.55,0.0
20061009:1010,370.68,31.86,16.71,2.48,0.0
20061009:1110,626.07,34.73,18.07,2.28,0.0
20061009:1210,492.78,34.55,18.87,2.55,0.0
20061009:1310,237.58,31.36,18.68,2.48,0.0
20061009:1410,97.44,25.64,18.2,2.21,0.0
20061009:1510,62.43,18.06,17.83,2.14,0.0
20061009:1610,104.05,9.25,16.94,1.93,0.0
20061009:1710,0.0,0.0,16.28,1.86,0.0
20061009:1810,0.0,0.0,15.52,2.0,0.0
20061009:1910,0.0,0.0,14.99,1.45,0.0
20061009:2010,0.0,0.0,14.13,1.38,0.0
20061009:2110,0.0,0.0,13.48,1.52,0.0
20061009:2210,0.0,0.0,12.87,1.52,0.0
20061009:2310,0.0,0.0,12.15,1.59,0.0
20061010:0010,0.0,0.0,11.79,1.59,0.0
20061010:0110,0.0,0.0,11.66,1.38,0.0
20061010:0210,0.0,0.0,11.83,0.97,0.0
20061010:0310,0.0,0.0,11.98,0.69,0.0
20061010:0410,0.0,0.0,11.56,0.76,0.0
20061010:0510,0.0,0.0,11.64,0.83,0.0
20061010:0610,0.0,0.0,11.47,1.03,0.0
20061010:0710,76.69,10.03,12.45,1.1,0.0
20061010:0810,188.97,18.71,13.87,1.52,0.0
20061010:0910,282.03,26.08,15.79,1.1,0.0
20061010:1010,677.87,31.52,17.61,1.17,0.0
20061010:1110,803.0,34.36,19.49,1.72,0.0
20061010:1210,866.4,34.17,20.66,1.72,0.0
20061010:1310,809.33,30.98,21.31,1.72,0.0
20061010:1410,702.46,25.28,21.74,1.86,0.0
20061010:1510,512.76,17.71,21.74,2.34,0.0
20061010:1610,193.43,8.91,21.04,2.28,0.0
20061010:1710,0.0,0.0,19.33,2.62,0.0
20061010:1810,0.0,0.0,17.94,2.83,0.0
20061010:1910,0.0,0.0,17.46,2.83,0.0
20061010:2010,0.0,0.0,16.95,3.03,0.0
20061010:2110,0.0,0.0,16.59,3.17,0.0
20061010:2210,0.0,0.0,16.25,3.17,0.0
20061010:2310,0.0,0.0,15.84,3.24,0.0
20061011:0010,0.0,0.0,15.35,3.17,0.0
20061011:0110,0.0,0.0,14.86,2.97,0.0
20061011:0210,0.0,0.0,14.39,2.76,0.0
20061011:0310,0.0,0.0,14.04,2.76,0.0
20061011:0410,0.0,0.0,13.78,2.62,0.0
20061011:0510,0.0,0.0,13.63,2.41,0.0
20061011:0610,0.0,0.0,13.56,2.34,0.0
20061011:0710,74.93,9.77,14.32,2.62,0.0
20061011:0810,204.94,18.43,15.68,2.41,0.0
20061011:0910,430.69,25.77,17.51,2.97,0.0
20061011:1010,360.23,31.17,19.13,3.17,0.0
20061011:1110,103.11,33.99,20.75,3.72,0.0
20061011:1210,57.7,33.79,21.42,4.0,0.0
20061011:1310,824.88,30.6,21.33,3.79,0.0
20061011:1410,682.29,24.91,20.92,2.69,0.0
20061011:1510,283.06,17.36,20.61,2.07,0.0
20061011:1610,53.55,8.57,19.25,2.21,0.0
20061011:1710,0.0,0.0,17.63,2.48,0.0
20061011:1810,0.0,0.0,16.85,2.34,0.0
20061011:1910,0.0,0.0,16.45,3.17,0.0
20061011:2010,0.0,0.0,16.22,2.62,0.0
20061011:2110,0.0,0.0,16.21,2.34,0.0
20061011:2210,0.0,0.0,15.93,2.34,0.0
20061011:2310,0.0,0.0,16.03,2.48,0.0
20061012:0010,0.0,0.0,16.03,2.48,0.0
20061012:0110,0.0,0.0,15.86,2.14,0.0
20061012:0210,0.0,0.0,15.8,1.93,0.0
20061012:0310,0.0,0.0,15.67,2.28,0.0
20061012:0410,0.0,0.0,15.41,3.17,0.0
20061012:0510,0.0,0.0,14.92,3.86,0.0
20061012:0610,0.0,0.0,14.29,4.14,0.0
20061012:0710,76.42,9.51,14.2,3.86,0.0
20061012:0810,120.08,18.14,14.08,3.52,0.0
20061012:0910,143.6,25.46,14.09,3.45,0.0
20061012:1010,116.36,30.83,14.51,3.93,0.0
20061012:1110,133.38,33.62,15.46,4.21,0.0
20061012:1210,82.3,33.4,16.38,4.0,0.0
20061012:1310,265.6,30.23,16.86,3.72,0.0
20061012:1410,219.22,24.55,17.08,3.59,0.0
20061012:1510,168.85,17.01,16.92,3.31,0.0
20061012:1610,44.84,8.24,16.56,2.76,0.0
20061012:1710,0.0,0.0,15.4,2.48,0.0
20061012:1810,0.0,0.0,14.26,2.41,0.0
20061012:1910,0.0,0.0,13.95,2.55,0.0
20061012:2010,0.0,0.0,13.45,2.69,0.0
20061012:2110,0.0,0.0,13.01,2.69,0.0
20061012:2210,0.0,0.0,12.52,2.69,0.0
20061012:2310,0.0,0.0,12.47,2.69,0.0
20061013:0010,0.0,0.0,12.41,2.69,0.0
20061013:0110,0.0,0.0,12.48,2.69,0.0
20061013:0210,0.0,0.0,12.46,2.69,0.0
20061013:0310,0.0,0.0,12.32,2.69,0.0
20061013:0410,0.0,0.0,12.36,2.69,0.0
20061013:0510,0.0,0.0,12.23,2.55,0.0
20061013:0610,0.0,0.0,12.32,2.41,0.0
20061013:0710,70.17,9.25,11.56,2.28,0.0
20061013:0810,267.56,17.86,12.68,2.48,0.0
20061013:0910,385.07,25.14,13.64,2.41,0.0
20061013:1010,473.66,30.48,15.62,3.03,0.0
20061013:1110,378.79,33.25,16.61,2.83,0.0
20061013:1210,150.41,33.02,17.97,3.1,0.0
20061013:1310,188.81,29.85,18.44,3.03,0.0
20061013:1410,233.48,24.19,18.66,2.9,0.0
20061013:1510,139.02,16.67,18.45,2.55,0.0
20061013:1610,68.5,7.91,18.08,2.41,0.0
20061013:1710,0.0,0.0,17.42,2.28,0.0
20061013:1810,0.0,0.0,17.02,2.41,0.0
20061013:1910,0.0,0.0,16.56,2.62,0.0
20061013:2010,0.0,0.0,16.41,2.62,0.0
20061013:2110,0.0,0.0,16.32,2.55,0.0
20061013:2210,0.0,0.0,16.2,2.48,0.0
20061013:2310,0.0,0.0,16.16,2.48,0.0
20061014:0010,0.0,0.0,15.92,2.55,0.0
20061014:0110,0.0,0.0,15.67,2.62,0.0
20061014:0210,0.0,0.0,15.55,2.76,0.0
20061014:0310,0.0,0.0,15.25,2.83,0.0
20061014:0410,0.0,0.0,14.83,2.76,0.0
20061014:0510,0.0,0.0,14.77,2.76,0.0
20061014:0610,0.0,0.0,14.49,2.76,0.0
20061014:0710,49.12,8.99,14.7,2.76,0.0
20061014:0810,107.49,17.57,15.13,3.38,0.0
20061014:0910,120.14,24.83,15.56,4.14,0.0
20061014:1010,145.68,30.14,16.4,4.07,0.0
20061014:1110,593.59,32.88,17.4,4.07,0.0
20061014:1210,0.0,0.0,18.15,4.0,0.0
20061014:1310,781.52,29.48,18.93,3.86,0.0
20061014:1410,544.46,23.83,19.22,3.72,0.0
20061014:1510,69.06,16.33,19.02,3.03,0.0
20061014:1610,34.06,7.58,18.57,3.03,0.0
20061014:1710,0.0,0.0,17.81,2.97,0.0
20061014:1810,0.0,0.0,17.05,3.03,0.0
20061014:1910,0.0,0.0,16.63,3.45,0.0
20061014:2010,0.0,0.0,16.19,3.52,0.0
20061014:2110,0.0,0.0,15.74,3.52,0.0
20061014:2210,0.0,0.0,15.59,3.38,0.0
20061014:2310,0.0,0.0,15.16,3.1,0.0
20061015:0010,0.0,0.0,14.96,2.97,0.0
20061015:0110,0.0,0.0,14.7,2.97,0.0
20061015:0210,0.0,0.0,14.32,3.03,0.0
20061015:0310,0.0,0.0,13.96,3.17,0.0
20061015:0410,0.0,0.0,13.96,3.24,0.0
20061015:0510,0.0,0.0,13.33,3.17,0.0
20061015:0610,0.0,0.0,13.0,3.24,0.0
20061015:0710,69.91,8.72,11.87,3.24,0.0
20061015:0810,207.15,17.29,12.97,3.93,0.0
20061015:0910,302.21,24.52,14.43,4.97,0.0
20061015:1010,561.74,29.8,15.56,4.69,0.0
20061015:1110,507.38,32.51,16.51,4.48,0.0
20061015:1210,787.37,32.27,17.36,4.55,0.0
20061015:1310,735.32,29.11,17.88,4.41,0.0
20061015:1410,531.85,23.47,18.03,4.34,0.0
20061015:1510,376.47,15.99,17.8,3.72,0.0
20061015:1610,121.43,7.26,17.34,3.52,0.0
20061015:1710,0.0,0.0,16.72,3.52,0.0
20061015:1810,0.0,0.0,15.85,3.59,0.0
20061015:1910,0.0,0.0,15.45,3.45,0.0
20061015:2010,0.0,0.0,15.11,3.45,0.0
20061015:2110,0.0,0.0,14.25,3.38,0.0
20061015:2210,0.0,0.0,13.38,3.24,0.0
20061015:2310,0.0,0.0,12.84,3.03,0.0
20061016:0010,0.0,0.0,12.38,2.83,0.0
20061016:0110,0.0,0.0,12.01,2.76,0.0
20061016:0210,0.0,0.0,11.66,2.69,0.0
20061016:0310,0.0,0.0,11.35,2.62,0.0
20061016:0410,0.0,0.0,11.04,2.69,0.0
20061016:0510,0.0,0.0,10.76,2.76,0.0
20061016:0610,0.0,0.0,10.5,2.83,0.0
20061016:0710,69.86,8.46,10.43,2.69,0.0
20061016:0810,260.04,17.0,11.85,2.62,0.0
20061016:0910,456.27,24.2,14.0,2.9,0.0
20061016:1010,654.0,29.45,16.02,2.97,0.0
20061016:1110,753.81,32.15,17.81,3.03,0.0
20061016:1210,836.75,31.9,19.25,3.1,0.0
